,course_title,course_organization,course_rating
92,Análisis de Datos de Google,Google,4.8
93,SAP Technology Consultant,SAP,4.7
94,IBM Product Manager,SkillUp EdTech,4.8
95,Financial Markets,Yale University,4.8
96,Arizona State University TESOL,Arizona State University,4.9
97,Workday Basics Series,Workday,4.6
98,Ciberseguridad de Google,Google,4.9
99,Microsoft 365 Fundamentals,Microsoft,4.7
100,Prompt Engineering for ChatGPT,Vanderbilt University,4.8
101,Neural Networks and Deep Learning,DeepLearning.AI,4.9
102,Microsoft Cybersecurity Analyst,Microsoft,4.7
103,Advanced Learning Algorithms,DeepLearning.AI,4.9
104,Gestión de Proyectos de Google,Google,4.9
105,Excel Skills for Business,Macquarie University,4.9
106,The Bits and Bytes of Computer Networking,Google,4.7
107,Indigenous Canada,University of Alberta,4.8
108,IBM Machine Learning,IBM,4.6
109,Connect and Protect: Networks and Network Security,Google,4.8
110,Graphic Design,California Institute of the Arts,4.7
111,Google Marketing Digital e E-Commerce,Google,4.8
112,Prepare Data for Exploration,Google,4.8
113,Introduction to Statistics,Stanford University,4.6
114,"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,4.9
